,names,logFC_C
86308,Lrif1,-0.272212
86172,Zkscan17,-0.2701281
86338,Isoc2b,-0.27007896
86906,Ascc1,-0.26783174
86610,Cert1,-0.26734522
86609,Ccdc34,-0.26651886
86322,Zadh2,-0.26556674
86880,Rb1cc1,-0.2615208
86134,Zfp688,-0.2598472
86261,Parpbp,-0.2598078
86360,Fech,-0.2586435
86569,Ap1g2,-0.25863302
86375,Kat6b,-0.25729144
86767,Naa30,-0.25715256
86388,Slc1a5,-0.25706813
86373,Nudt9,-0.25588834
86527,Vapb,-0.25573638
86520,Etfdh,-0.25535873
86744,Ubxn6,-0.25401706
86274,Nat2,-0.25080335
86932,Cnpy2,-0.2500361
86935,Appl1,-0.24918431
86466,Mkrn1,-0.24876013
86748,Inpp5b,-0.24437383
87197,Rasgrp2,-0.24110632
86817,Vezf1,-0.24100336
86136,Lrrc61,-0.23681076
86766,Cers5,-0.23616792
86096,Hif1an,-0.23418671
86149,Kif18a,-0.23401748
86428,Ktn1,-0.23363356
86326,Dmac2,-0.23330706
86792,Gclm,-0.23313206
86387,Smim15,-0.2308838
86860,Sh2d3c,-0.22971158
86554,Zfp330,-0.22855371
86081,Amz2,-0.22599314
87151,Ehmt2,-0.22596605
86380,Zfp277,-0.22405061
86220,Scd2,-0.22388564
86084,Snx4,-0.22365116
86161,Tafazzin,-0.22269136
86130,Mtmr12,-0.22193584
86393,Fto,-0.22105913
86553,Tmx3,-0.21457922
86140,Vps11,-0.21456905
86778,Dcaf11,-0.21332797
86700,Mpst,-0.21309601
86953,Rnasek,-0.2077657
86381,Rap2c,-0.20727564
86543,Helb,-0.2050421
86250,Scp2,-0.20426582
86959,Chp1,-0.2034908
86406,Vdac1,-0.2027121
86088,Ivd,-0.20253481
86343,Gskip,-0.19929385
86587,Exoc2,-0.1990006
86429,Xpa,-0.19771266
86445,Fam114a2,-0.19645754
86480,Med14,-0.19334354
86327,Rnf181,-0.19321284
86435,Rictor,-0.19173273
86653,Dnajc10,-0.19066805
86604,Anxa5,-0.18961902
86232,Fundc1,-0.18866381
86217,Zfc3h1,-0.18825789
86560,Polr3c,-0.18594094
86223,Elp3,-0.18176505
86236,Bcl10,-0.18147656
86145,Cox20,-0.17993924
86721,Cpsf3,-0.1772994
86318,Nudcd3,-0.17510852
86368,Taf1b,-0.17166474
86294,Traf3ip2,-0.16932772
86242,Rimoc1,-0.16564204
86423,Synj1,-0.16559507
86688,Rb1,-0.16298616
86556,Bcap31,-0.16090108
86251,Cdca3,-0.15852523
86634,Tuba1a,-0.15649906
86198,Stn1,-0.15554743
86354,Fam117a,-0.1531927
86723,Fbrs,-0.1531649
87141,Eif3h,-0.1511404
86512,Ccnk,-0.14787883
86229,Immp1l,-0.14674184
86244,Cdkn2aipnl,-0.14177686
86531,Ubl7,-0.13898927
86571,Gstp3,-0.13673016
86291,H1f4,-0.13545088
86119,Nfyb,-0.13535696
87007,Arpc1b,-0.13485964
86106,Tnpo1,-0.13230097
86410,Tiprl,-0.13034096
86483,Tbrg1,-0.1279408
86626,Tmem134,-0.124834806
86765,Marchf7,-0.12472876
86636,Prdx2,-0.123156
86378,Ctdsp1,-0.12193526
86672,Mff,-0.11815429
86616,Tial1,-0.11778734
86107,Knstrn,-0.116736546
86475,Gtpbp1,-0.11615196
86754,Igbp1,-0.11507599
86537,Anapc11,-0.11497934
86187,Pias1,-0.10969709
86594,Xrn2,-0.10445448
86452,Atxn10,-0.10376226
86147,Tmod3,-0.09808141
86355,Asxl1,-0.09651025
86099,Hnrnph1,-0.095502004
86213,Synj2bp,-0.09492111
86550,Idh3b,-0.09289899
86804,Gnas,-0.09087098
86937,Sf3b1,-0.08765085
86579,Npm1,-0.087494746
86826,Arpc2,-0.08635154
86608,Pfdn5,-0.082483314
86276,Was,-0.08177081
86756,Eef2,-0.07896376
86231,Fxr1,-0.07782235
87104,Arhgdib,-0.07460952
86104,Use1,-0.055771492
86342,Rack1,-0.05463469
86581,Naca,-0.05208309
86063,Gstp1,0.08341328
86074,Yme1l1,0.08720578
86038,Dhx36,0.09318906
86015,Ndel1,0.09493576
85961,Ddx19a,0.09619787
86065,Celf1,0.0975577
85999,Cdt1,0.09970233
86062,Tbk1,0.09992409
85980,Hnrnph2,0.101773866
85623,Rasa3,0.10209449
86048,Stk11,0.10313118
86069,Nsrp1,0.10330864
85857,Kmt2e,0.104884565
85859,Ostc,0.10608044
85672,Sec22b,0.10643374
86060,Gfm2,0.106684215
85869,Fbxl14,0.10686897
85901,Hspa4,0.10728696
85689,Dnm1l,0.10767068
85929,Pcif1,0.108433545
85852,Kpna4,0.108791344
85968,Cebpg,0.109025024
85810,Snrpc,0.10972217
86058,Dnttip2,0.11005929
85910,Tomm20,0.110641465
85789,Scamp3,0.11223163
