genes,cluster,IFNA_IL2,IFNA_IL21,IFNA_IL27,IFNA_IL6,IFNA_TNF,IL12_IFNA,IL12_IL2,IL12_IL21,IL12_IL27,IL12_IL6,IL12_TNF,IL21_IL27,IL2_IL21,IL2_IL27,IL2_TNF,IL4_IFNA,IL4_IL12,IL4_IL2,IL4_IL21,IL4_IL27,IL4_IL6,IL4_TNF,IL6_IL2,IL6_IL21,IL6_IL27,IL6_TNF,TNF_IL21,TNF_IL27
Abce1,-1,-0.2488534203628717,-0.1950757476829638,-0.048814798905777,-0.2890771329972662,-0.0799014986722856,-0.0465627854068247,0.1059615638757095,0.2034489312579392,0.1044599846204814,0.0164561691225139,0.0777092136974108,0.007671432266944,-0.0943394325346709,-0.1555865454624821,-0.1532059260797188,-0.1282215081531578,0.0753177400312113,-0.3413156332793625,-0.0113915746214889,-0.0037616234771001,-0.2088169041126926,0.0915120542747446,-0.3760731223526976,-0.0604863814842886,-0.1772364568330988,0.1022984408787059,0.1055340408242992,-0.1081571663436471
Abcg1,-1,0.1200128987446646,0.10272183727242,0.074534997143598,0.0076778302327697,0.0175616835149185,0.094130625502732,-0.1441560192466524,-0.0405737726291568,-0.0159680058875758,-0.0094358352199105,-0.0076965770434959,0.1001775473533491,0.0370536608614226,0.038487907196346,-0.2917537537620741,0.0724083639424937,0.0948729663425345,0.2618993209514151,0.1444521608278921,-0.0805751495263898,0.1073441157017515,-0.3864992322008814,0.0809068162589877,0.1372914879806614,0.1308901683103903,0.0274321747353439,-0.0269865514997837,0.1503314204564131
Abcg2,-1,-0.0193194377264766,-0.1336352073673884,-0.0516453550633196,-0.0134904457831418,-0.0696076469459929,-0.1987483396878575,0.0217676350511635,0.0642668672879856,-0.009885566378132,0.0627404237581833,-0.1111007368422753,0.1307470628645514,-0.1196748975223771,-0.0269526059371969,0.0708672032362922,-0.053115013519898,-0.0195518111838661,0.0637509291832553,0.1066407087998375,-0.0254347998540983,0.329293979180649,0.2602352655735596,-0.1741192787200991,-0.0090413279095261,0.0549848905081718,0.1132816299144438,0.1057536550678617,0.1455724704435549
Abcg3,-1,-0.0145177944915492,0.0655211039208631,-0.0426279669071388,-0.052539851122601,-0.3614780964717545,-0.1283749367419743,-0.0996090162815829,-0.1454719733346666,-0.0670198752045568,-0.0860882282407071,-0.2126237859223075,-0.0639154359814162,-0.0180532496277538,0.0262636389857471,-0.4550607892773195,-0.0577244002032464,-0.2044409728293772,-0.0638216830927041,-0.0105469403366296,-0.095958791667505,0.0028503974309348,-0.2416209747849518,-0.0233675083269639,0.0229557750593677,-0.1444588623473738,-0.4588478434721472,-0.4627824875464363,-0.2738307116612772
Abhd14a,-1,-0.0234850240148898,8.188059119687323e-05,-0.0503624433679629,-0.1070103863655936,-0.0634223738774671,-0.0579984350207368,0.1275809265823393,-0.0920737171896092,-0.1616247924411599,0.0732654723520453,-0.2142079955706554,-0.2049908218542102,-0.0347783302235651,-0.1269842702129229,-0.0845886940147051,-0.1842142425954837,0.00090902529819702,-0.0815046878227459,0.0206294603839954,-0.125505149261716,-0.0478895033162167,0.1298359884554489,-0.1140898457205504,-0.1013332564652643,-0.1508489446613328,0.1200357728733833,0.1969241065109502,-0.1174572268992071
Abhd14b,-1,-0.1702370275235068,0.0480081000369487,0.1678877060397035,0.1485246503476087,0.0643336397717598,0.1040819223714418,-0.1380457680831768,0.1649700425424099,0.0362293032467977,-0.234636063332013,0.1346464406678592,-0.1246589823220044,-0.1086669971569058,0.0661175600811133,-0.2259964224013446,0.0388608391953818,0.085639311964853,0.0033371572998876,-0.033859460031216,0.0470021218864011,0.1195834284670264,-0.0120281369092402,-0.0709941160452756,0.0304203406021633,0.0390607800451146,-0.2369721868500061,-0.0822751063305032,0.0175548435394792
Abhd15,-1,0.1167060776408301,0.1006276743437014,0.1357213173109094,0.1518761169341778,0.3015726164053132,-0.0658068889808635,-0.0891759954181309,0.130700903398309,0.0773131624459159,0.1984399735497306,0.1254589569556809,-0.0352962259826614,0.0515020808449463,0.0770461106018516,0.2643062514271814,0.0877487256027921,0.1795924082740529,0.2943575955627838,0.0047241591581775,-0.0753258648993494,0.1227404124770449,0.4474640879121352,0.2357411877974398,0.0236341765088337,0.0613512552649619,0.2206586945213172,-0.0840494085297581,0.1804452318090048
Abhd17c,-1,-0.031829273110622,-0.0325414801314935,0.0304764943552916,-0.0962755305842731,-0.0519119771361226,0.0891710960553107,0.134233587655201,0.2449956305546828,0.039780242471584,0.0609081086542516,0.0213562122746662,0.0039221661923333,0.0602235210416373,-0.0272814845302097,0.1669711346664214,-0.0550719625271818,0.0133129272218529,0.02263911223255,-0.1074374839384905,-0.0677518544015824,-0.1891015375649196,0.1590282278771796,-0.1241428033070137,-0.1549000050089798,-0.0329954401448539,-0.0340984314377206,-0.0116919999995757,-0.100655509281518
Abhd18,-1,-0.0426799012561586,-0.1182484148413252,-0.1424443078334141,-0.0629349273009198,-0.22829396594596,-0.082605349745514,-0.0796040886655979,0.0010142303914044,-0.0303491571810638,0.004591639765521,0.012835918921994,-0.062141571013533,-0.0942832377381456,-0.2612671273175995,0.0660945352677636,-0.0857540026616829,-0.0244268588174822,0.057258917622597,-0.0705224494023013,-0.0921526770832536,0.1351201302129347,0.0232639700752668,-0.0946462347780954,0.0509061772998224,0.0568588537536215,-0.1467598369620232,-0.2491048531488272,-0.1285032341266039
Abhd4,-1,0.0435845600660032,0.1051212230596695,0.0958062848479354,0.1350424211614061,0.0631889076246612,0.0080085701506314,0.1408879342774143,0.0572332029985283,0.1021718767893861,0.1196949435849858,0.1229378899356268,0.1111490119357721,0.0010215060848591,0.0834502105704562,0.0302666716208303,0.1535016853305413,0.047077105836753,0.249129301145273,0.0255435856325889,0.0718897288864668,0.0786033090673374,0.0649113206615534,-0.0282386576616647,0.0078815076129858,0.1794436710300204,-0.164688922284334,-0.0691796602441457,0.1249459347655243
