interaction,name,adj_pval,lfc,expected_lfc_single,expected_lfc_abs_single,diff_magnitude_1,diff_magnitude_2
TNF_IL21,Prpf4,0.03838926385545185,0.3035747727456084,-0.0037130130983640333,0.0037130130983640333,82.75968268987916,82.75968268987916
IFNA_TNF,Hpf1,0.05927859723671876,0.1179766706194918,-5.2941692419408e-4,0.00257651335146172,223.84265052365893,46.789271983613325
IL4_TNF,Noc4l,2.069684984047716e-9,0.5356686841875986,-0.013588735673776432,0.013588735673776432,40.420053274075606,40.420053274075606
IL12_IFNA,Tspan32,0.01302911484286925,-0.15460299592033175,-0.005151369887478011,0.005151369887478011,31.01201608452577,31.01201608452577
IL2_TNF,Cip2a,0.01877853657236346,0.144892906576794,-0.004829168477883908,0.004829168477883908,31.003696752424048,31.003696752424048
IL4_IL21,Polr2d,0.05756294543237654,0.2476026466223844,-0.0092463713031441,0.0092463713031441,27.778358612766347,27.778358612766347
IL4_TNF,Slc30a5,0.0368079801811124,0.18629898777384715,0.0071964415648344505,0.0071964415648344505,26.887653793258146,26.887653793258146
TNF_IL21,Bsg,0.01647546050748516,0.24432324763201352,-6.127458418639722e-6,0.00945274706728034,39874.505610218825,26.846798384959644
TNF_IL27,Mphosph6,0.08894958316567371,0.2366273177507814,0.00455621241302764,0.009955848398005,52.935093516314055,24.767669845012698
TNF_IL21,Ifi30,3.542162412702229e-7,0.5744436393868748,-0.017970440879683892,0.02477729466484875,32.96602928291537,24.184276054230857
IL2_TNF,R3hdm4,0.00105234619140882,-0.17338358175556154,8.945669269136798e-4,0.0077709245014802595,194.81845733303305,23.311834547168
IL6_TNF,Mphosph6,0.00355920663873813,0.3646152047912445,0.01683447825363177,0.01683447825363177,22.658836068328082,22.658836068328082
TNF_IL21,Cc2d1b,0.03937579496131552,0.23988558895671405,-0.0026862993367979702,0.011435721613747288,90.2996493989587,21.97686504263439
TNF_IL21,Tfap4,0.01046052075124943,0.4736202159061761,-0.022633626500730978,0.022633626500730978,21.925511689029594,21.925511689029594
IL6_IL2,Tsc22d3,2.0645368955564617e-4,-0.27175471541314233,0.0011616974822596902,0.01328188086743183,234.92898716155887,21.460559624465937
IL6_TNF,Nif3l1,0.06496848153672334,0.3037031325009073,-1.9028187051107863e-4,0.01745122170496244,1597.069723748196,18.402972561774636
IL4_TNF,Micu1,8.93041992794536e-4,-0.3040012279935114,-0.01816828790487848,0.01816828790487848,17.73251929874373,17.73251929874373
IL4_TNF,Ptpn13,0.00296632933290283,0.967873829442033,0.05916789795745685,0.05916789795745685,17.358090499310247,17.358090499310247
IL12_IL21,Brd2,0.05320560589484933,0.20021471348038913,0.004806361317704821,0.01230201516973446,42.65619275081831,17.274952576303058
IL6_TNF,Tmem199,0.01210212444992843,0.45470645626124145,-0.0015777719651716808,0.02822939848968772,289.19529456638804,17.107550305308383
TNF_IL21,Pfas,0.0788233744726374,0.23715153914520817,0.007826927897963219,0.01506003973111094,31.29944088368586,16.747072609330637
TNF_IL21,Cyb5b,0.0309609202212178,0.23956021106878517,0.014641300961937961,0.01617823072905994,17.361948415072835,15.80756549221901
IL12_IL21,Zfp524,0.06975831672315937,-0.33207657116084577,-0.0237288451946829,0.0237288451946829,14.994636841208633,14.994636841208633
IL6_TNF,Rorc,5.794154166265601e-6,1.7477686388204634,-0.03818329539801411,0.12545509904183977,46.773122005372116,14.931427675471172
IL12_IL21,Klf10,0.04177492802200088,0.4369996643139283,-0.03251257532873132,0.03251257532873132,14.440942770465563,14.440942770465563
IL12_IL21,Gbp4,0.00665559534096796,0.3192210985688886,0.02033103631459185,0.02479057040028009,16.701172022391177,13.876714549709671
IL6_TNF,Tfap4,8.264128502227856e-8,0.7689589918551061,-0.05069296597772649,0.05979102990066819,16.168948532089676,13.860775155279816
IL4_TNF,Znhit3,0.03360292714280009,0.28286306517788745,0.02233847889229361,0.02233847889229361,13.662592942954157,13.662592942954157
IL4_TNF,Farp2,0.08445424057356972,0.5942449056015386,0.04957565485678579,0.04957565485678579,12.986627454910964,12.986627454910964
IL2_TNF,Spn,2.707581865959822e-15,-0.23777793000406844,-0.0022550366058823913,0.02012415035499765,106.44304663782893,12.815551256056803
IL12_IL21,Fxyd5,0.0204176085019835,-0.13478779104393715,-0.011545026289438506,0.011545026289438506,12.674966142540727,12.674966142540727
IL4_IL6,Vcl,0.08692527703978604,0.3778560795107278,0.03325561470454059,0.03325561470454059,12.36217396273649,12.36217396273649
IL6_TNF,Cdc26,0.01349286465831612,0.250105427308209,0.0033129735048698303,0.02215208423903589,76.49273392635716,12.290379027517375
TNF_IL27,Polr2a,0.05002867577027069,0.08051439015760642,0.00717621267092758,0.00717621267092758,12.21962152596006,12.21962152596006
IL4_IL27,Xdh,2.4980979947970034e-6,1.2769289873039589,-0.05862467725197881,0.11488109851149783,22.781424600693345,12.115222641922752
TNF_IL21,Ppp1r15b,0.09187687291542748,0.19338169655010903,0.01761209903915817,0.01761209903915817,11.98004821118428,11.98004821118428
IL12_IL2,Slfn8,0.06668900971719048,-0.42332918500933264,-0.023187427827092842,0.03884983812555036,19.25684108500827,11.896549520779647
IL4_TNF,Slc5a6,0.01885944117216435,0.5889667934299806,-0.05452894373181046,0.05452894373181046,11.800993988196327,11.800993988196327
IL4_TNF,Dnm1l,1.6050966409320948e-18,0.4976227550443819,0.04610788413315552,0.04610788413315552,11.792574077077385,11.792574077077385
IL12_IL21,Tyw5,0.08601791718709964,0.4810623978703123,0.04474783254187155,0.04474783254187155,11.750518417180798,11.750518417180798
