feature_call_oBC_umi2,count
linker_group1|IL2_group3,13
linker_group1|IFNB_group2,13
IFNB_group2|linker_group3-1,13
linker_group1|IL6_group3,13
linker_group1-1|TNF_group2,13
IL6_group1|linker_group3-1,13
IL4_group2|IL6_group3,13
linker_group1|IL21_group3,13
IL2_group1|IL2_group3,13
IL2_group2|IFNC_group3,13
TNF_group1|IFNC_group3,13
IL21_group2|linker_group3,12
linker_group1-1|TNF_group3,12
IL4_group2|linker_group3,12
linker_group1-1|IL21_group2,12
IFNB_group2|IL4_group3,12
linker_group2|linker_group3-1,12
IL4_group2|IL27_group3,12
IL27_group1|linker_group2-1,12
IL21_group2|IL2_group3,12
IL2_group2|IL2_group3,11
IFNB_group2|linker_group3,11
IL2_group2|IL21_group3,11
IL27_group1|linker_group3-1,11
IL12_group2|linker_group3-1,11
IL2_group1|linker_group2,11
IL2_group1|linker_group3-1,11
IL2_group2|TNF_group3,11
TNF_group1|TNF_group2,11
IL2_group2|IL6_group3,11
linker_group1-1|IFNC_group3,11
IL6_group1|IL4_group2,11
TNF_group1|IL4_group3,11
IFNB_group2|IL6_group3,10
linker_group1|IL21_group2,10
IL27_group1|IL2_group2,10
IL6_group1|IL2_group2,10
linker_group2-1|IL6_group3,10
IL21_group2|TNF_group3,10
TNF_group1|TNF_group3,10
IL2_group2|linker_group3-1,10
IL12_group2|linker_group3,10
IL2_group1|IL21_group3,9
linker_group2-1|IL2_group3,9
IL4_group1|IL4_group3,9
IL6_group1|TNF_group2,9
linker_group1|IL27_group2,9
linker_group2|TNF_group3,9
IL4_group1|IL6_group3,9
IL4_group1|TNF_group3,9
linker_group2-1|TNF_group3,9
IFNB_group2|IFNC_group3,8
IL12_group2|IL21_group3,8
TNF_group2|linker_group3-1,8
IL2_group1|IL6_group3,8
IL6_group1|TNF_group3,8
TNF_group2|IL6_group3,8
IL27_group1|linker_group3,8
IL2_group1|IFNC_group3,8
IL2_group1|IL21_group2,8
IL27_group1|IFNC_group3,8
IL27_group1|IL4_group3,8
TNF_group2|IL21_group3,8
IL6_group1|IL21_group2,8
IL2_group1|IL27_group3,8
IL12_group2|TNF_group3,7
IL4_group1|IL4_group2,7
IL4_group1|IL21_group3,7
IL4_group1|IL27_group2,7
linker_group1|IL27_group3,7
IL27_group2|linker_group3-1,7
linker_group1|TNF_group2,7
IL27_group1|IL2_group3,7
IL6_group1|IL12_group2,7
IL4_group2|IFNC_group3,7
IL21_group2|IFNC_group3,7
linker_group2|IL6_group3,7
IFNB_group2|TNF_group3,6
linker_group2|IL27_group3,6
linker_group2|IL4_group3,6
IL12_group1|linker_group2,6
IL4_group2|TNF_group3,6
linker_group2-1|IL21_group3,6
IL4_group1|IFNC_group3,6
linker_group2-1|IFNC_group3,6
IL2_group1|TNF_group3,6
IL27_group1|IL12_group2,6
IL27_group1|IL21_group3,6
IL21_group2|IL27_group3,6
IL4_group1|IL2_group3,6
IL4_group1|IL21_group2,6
IL27_group1|TNF_group3,6
IL27_group1|linker_group2,6
linker_group1-1|IL27_group2,6
TNF_group1|IL12_group2,6
IL2_group1|IL4_group3,6
linker_group1|IFNC_group3,5
IL21_group2|IL21_group3,5
IL6_group1|IFNC_group3,5
IL6_group1|IL2_group3,5
IL12_group2|IL6_group3,5
linker_group2|IL2_group3,5
IL21_group2|IL6_group3,5
IL21_group2|IL4_group3,5
IFNB_group2|IL27_group3,5
IFNB_group2|IL21_group3,5
IFNA_group1|IL4_group2,5
IL4_group1|IL12_group2,5
IL6_group1|IL4_group3,5
IL27_group2|IL2_group3,5
IL4_group2|IL2_group3,5
IL6_group1|IL6_group3,5
IL4_group1|linker_group2,5
IL4_group2|IL21_group3,5
IL4_group1|IFNB_group2,5
linker_group1|IL6_group2,4
linker_group1-1|IL6_group2,4
IL6_group1|IFNB_group2,4
IL2_group2|IL27_group3,4
IL12_group2|IL2_group3,4
IFNA_group1|linker_group2-1,4
linker_group2|IL21_group3,4
IL12_group1|linker_group3,4
TNF_group2|TNF_group3,4
linker_group2-1|IL27_group3,4
IL2_group1|TNF_group2,4
IL27_group1|IL6_group3,4
IL27_group1|IL21_group2,4
IL27_group1|IL27_group3,4
IL6_group1|IL21_group3,4
TNF_group2|IL2_group3,4
IL4_group1|IL27_group3,4
IL27_group2|IFNC_group3,4
IL6_group1|IL27_group3,4
TNF_group1|IL27_group3,4
IL6_group2|linker_group3,4
IFNB_group2|IL2_group3,4
IFNA_group1|linker_group3,4
linker_group1-1|IL27_group3,3
IFNA_group1|linker_group3-1,3
TNF_group1|IL27_group2,3
IL6_group2|IL21_group3,3
IL6_group2|TNF_group3,3
IL12_group1|IFNC_group3,3
IL6_group1|IL27_group2,3
TNF_group2|IL4_group3,3
TNF_group1|IL6_group2,3
IL27_group2|IL6_group3,3
IL6_group1|linker_group2,3
IL27_group1|IFNB_group2,3
IL27_group2|linker_group3,3
TNF_group2|IFNC_group3,3
IL12_group2|IFNC_group3,3
IFNA_group1|IL2_group2,3
IL12_group1|IL27_group3,3
IL27_group2|IL27_group3,2
IL2_group1|IL27_group2,2
IL6_group1|IL6_group2,2
IL27_group2|IL21_group3,2
IL27_group2|TNF_group3,2
IL12_group1|IFNB_group2,2
IFNA_group1|IL21_group2,2
IFNA_group1|IL21_group3,2
IL2_group1|IL12_group2,2
IFNA_group1|IL12_group2,2
linker_group2|IFNC_group3,2
IL12_group1|TNF_group2,2
IL4_group1|TNF_group2,2
IL27_group1|IL27_group2,2
IL4_group2|IL4_group3,2
TNF_group2|IL27_group3,2
IL12_group1|linker_group2-1,2
IL27_group1|TNF_group2,2
IL12_group2|IL4_group3,2
IL12_group1|IL4_group2,1
IFNA_group1|IL6_group2,1
IFNA_group1|IL4_group3,1
IFNA_group1|TNF_group3,1
IFNA_group1|IL27_group3,1
IFNA_group1|IFNC_group3,1
IFNA_group1|IL2_group3,1
IL6_group2|linker_group3-1,1
IL6_group2|IL27_group3,1
IL6_group2|IL2_group3,1
IL12_group1|IL2_group3,1
IL12_group1|IL12_group2,1
IL12_group1|IL21_group2,1
IL12_group1|IL21_group3,1
IL4_group1|IL6_group2,1
IFNA_group1|IFNB_group2,1
IL6_group2|IFNC_group3,1
IL12_group1|IL2_group2,1
IL12_group1|IL27_group2,1
IL12_group1|TNF_group3,1
IL12_group1|linker_group3-1,1
IL12_group2|IL27_group3,1
IFNA_group1|linker_group2,1
