feature_call_oBC_CR,count
IL4_A2|IL6_C3,7
IL4_A2|IL4_B2,7
p129_B10|IL21_C6,7
IL2_A1|IFNB_B5,6
p129_B10|TNF_C8,6
IFNB_B5|p129_C9,6
p129_A9|IL6_C3,6
IL6_A3|IL4_B2,6
TNF_A8|TNF_C8,6
p129_A10|TNF_C8,6
p129_A10|IL21_B6,6
p129_A10|IL12_B4,6
TNF_A8|TNF_B8,6
p129_B9|IL6_C3,6
IL4_B2|IL21_C6,6
IL4_B2|IFNC_C5,6
IL27_A7|IL2_B1,6
IL2_B1|p129_C10,6
IL6_A3|p129_C9,6
IL2_A1|IL21_C6,6
IL21_B6|p129_C9,6
IL2_B1|TNF_C8,6
IL2_A1|p129_B9,6
IL27_A7|IL4_C2,6
IFNB_B5|TNF_C8,6
p129_A9|IL27_B7,6
p129_B9|p129_C9,6
IL2_A1|IL4_B2,6
p129_B9|p129_C10,6
IL4_A2|TNF_B8,6
IL4_A2|IL4_C2,6
IL4_A2|IL2_C1,6
IL27_A7|IL2_C1,5
TNF_A8|p129_C9,5
p129_A10|IFNC_C5,5
TNF_A8|IL12_B4,5
p129_A10|IL6_C3,5
p129_A10|IL2_C1,5
IL4_B2|p129_C10,5
IL27_A7|IL6_C3,5
IL6_A3|TNF_C8,5
IL2_A1|IL27_C7,5
IL12_B4|IL2_C1,5
IL12_B4|IL21_C6,5
IL4_A2|IL12_B4,5
IL4_A2|IL21_C6,5
IL4_A2|IL27_C7,5
IL21_B6|TNF_C8,5
p129_B10|IL2_C1,5
IL4_A2|p129_B9,5
IL4_A2|TNF_C8,5
IL6_A3|IL21_B6,5
IFNB_B5|IL6_C3,5
IL2_A1|IFNC_C5,5
IL2_A1|IL4_C2,5
IL2_A1|IL6_C3,5
p129_A9|TNF_B8,4
IL6_A3|p129_C10,4
IL2_A1|TNF_B8,4
IL4_A2|IFNB_B5,4
IL4_B2|TNF_C8,4
p129_A10|TNF_B8,4
IL4_B2|p129_C9,4
IL2_A1|TNF_C8,4
p129_B9|IL27_C7,4
TNF_A8|IL27_B7,4
IL27_A7|TNF_C8,4
p129_A9|IL27_C7,3
IFNB_B5|IFNC_C5,3
IFNB_B5|IL4_C2,3
IFNA_A5|p129_B10,3
p129_B10|IL27_C7,3
IL12_B4|TNF_C8,3
IL12_B4|IL27_C7,3
IL12_B4|IL4_C2,3
IL12_B4|IFNC_C5,3
IL6_A3|IL21_C6,3
IL2_A1|IL12_B4,3
IL6_A3|IL4_C2,3
IL6_A3|IL12_B4,3
IL2_B1|IFNC_C5,3
IL12_B4|p129_C9,3
IL21_B6|IFNC_C5,3
IL4_A2|IL27_B7,3
IL21_B6|IL21_C6,3
TNF_B8|IL6_C3,3
TNF_B8|IL21_C6,3
TNF_B8|TNF_C8,3
p129_B9|IL4_C2,3
p129_B9|IL2_C1,3
TNF_A8|IFNC_C5,3
IL27_B7|p129_C10,3
IL27_A7|IL21_C6,3
IL27_A7|IL12_B4,3
IL2_B1|IL21_C6,3
TNF_B8|IL4_C2,3
p129_A10|IL27_B7,3
TNF_A8|IL27_C7,3
IL6_A3|IFNC_C5,3
IL6_A3|IL2_C1,3
IL27_A7|p129_C10,3
IL27_B7|IL2_C1,3
IL27_B7|IL21_C6,3
IFNA_A5|p129_C10,3
IFNA_A5|IFNC_C5,2
p129_B9|IL21_C6,2
IL12_A4|IFNB_B5,2
IL2_A1|IL2_C1,2
IL27_B7|IL27_C7,2
IL27_B7|p129_C9,2
